artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,track_name_id
1,2012,10,15,18371,83,1813673666,250,122,3394,19,0,123,0,0,0.13,0.54,0.7,0.0,0.09,0.04,51
1,2019,11,29,43899,69,3703895074,672,199,3421,20,0,171,1,0,0.38,0.8,0.0,0.0,0.09,0.07,52
1,2023,2,24,2649,42,256483385,67,79,57,1,615,137,0,0,0.88,0.72,0.51,0.0,0.17,0.05,53
1,2022,5,26,6804,45,1214083358,139,111,161,15,210,125,0,1,0.85,0.68,0.58,0.0,0.22,0.04,54
1,2023,7,14,525,41,16011326,34,115,39,6,216,128,0,1,0.42,0.72,0.59,0.0,0.09,0.19,55
1,2020,7,24,7923,29,812019557,106,112,142,4,215,130,0,0,0.53,0.58,0.55,0.0,0.27,0.04,56
2,2023,2,3,5184,41,156338624,154,84,102,14,37,133,1,1,0.86,0.81,0.25,0.0,0.25,0.05,57
3,2022,6,24,3107,39,720434240,38,0,4,0,0,101,1,1,0.72,0.59,0.62,0.0,0.09,0.03,58
2,2022,10,6,4637,38,674072710,63,79,89,11,16,98,0,1,0.4,0.59,0.0,0.0,0.1,0.29,59
1,1999,1,1,31358,43,1755214421,196,2,4053,5,0,173,1,0,0.28,0.66,0.0,0.0,0.23,0.03,60
1,2022,10,21,3818,23,404562836,37,55,32,0,272,90,1,0,0.1,0.62,0.07,0.0,0.48,0.07,61
1,2022,12,2,3506,56,373199958,105,64,169,8,529,198,0,0,0.71,0.42,0.55,0.0,0.1,0.07,62
1,2023,7,14,410,36,14780425,36,32,31,1,26,140,1,0,0.48,0.73,0.0,0.0,0.35,0.04,63
1,2023,7,7,148,24,39578178,32,93,8,2,5,82,1,0,0.22,0.53,0.01,0.0,0.15,0.03,64
2,2023,6,23,1004,35,54266102,42,80,58,3,169,130,0,1,0.84,0.89,0.17,0.0,0.43,0.05,65
1,2020,6,28,22543,63,2557975762,386,144,707,28,0,81,1,1,0.53,0.53,0.44,0.0,0.09,0.09,66
